subject,relation,object
Voldemort 's minions,protect,Voldemort 's targets
home,defeat,Voldemort 's minions
Dumbledore,re-activates,society
Phoenix,of Order is,secret society
Voldemort,of,recent activities
Harry,Despite,description of recent activities
others,is in,magical world
prominent voice,is in,Wizarding World
Ministry,appoints Dolores Umbridge as,High Inquisitor
Voldemort,of,return
Ministry,appoints,Dolores Umbridge
Ministry,appoints Dolores Umbridge as,Inquisitor
Ministry,appoints Dolores Umbridge as,High Inquisitor of Hogwarts
Dolores Umbridge,Ministry of,Magic
Ministry,appoints Dolores Umbridge as,Inquisitor of Hogwarts
Dolores Umbridge,transforms,school
Dolores Umbridge,refuses,to allow
ways,defend,students against magic
Dolores Umbridge,refuses,allow
ways,defend,students
Dolores Umbridge,transforms school into,regime
students,learn,ways
ways,defend,students against dark magic
Dolores Umbridge,transforms school into,dictatorial regime
Harry,teach,higher level skills of Defence
Ron,form,Dumbledore 's Army
Harry previous encounters,is with,Dark wizards
Harry,teach,Harry classmates
Hermione,form,secret study group
Harry,teach,level skills of Defence
Harry,teach,level skills
Harry,has learned from,Harry previous encounters
Harry,teach,level skills Against Dark Arts
Dumbledore,has,Army
Hermione,form,study group
Hermione,form,Dumbledore 's Army
Harry,teach,higher level skills
Harry,teach,level skills of Defence Against Dark Arts
Harry,teach,higher level skills of Defence Against Dark Arts
Harry,has learned from,Harry encounters with Dark wizards
Ron,form,secret study group
Harry,has learned from,Harry encounters
Ron,form,study group
Harry,has learned from,Harry previous encounters with Dark wizards
Harry,teach,higher level skills Against Dark Arts
Harry,develop,crush
Harry,begins Through,lessons
Harry,develop,crush on Cho Chang
Harry,develop,crush on popular Cho Chang
Harry,constantly receives dreams about,dark corridor in Ministry
Harry,receives dreams about,dark corridor
dark corridor,is in,Ministry of MagicMagic
Harry,constantly receives dreams about,dark corridor in Ministry of MagicMagic
Harry,constantly receives dreams about,corridor in Ministry
Harry,receives dreams about,dark corridor in Ministry of MagicMagic
Harry,constantly receives dreams about,corridor
Harry,constantly receives,disturbing dreams
Harry,constantly receives dreams about,dark corridor
Harry,receives dreams about,corridor in Ministry
Harry,receives dreams about,corridor
Harry,constantly receives dreams about,corridor in Ministry of MagicMagic
Harry,receives,disturbing dreams
Harry,receives dreams about,corridor in Ministry of MagicMagic
Harry,receives dreams about,dark corridor in Ministry
Harry,constantly receives,dreams
Umbridge,has,incessant
Harry,receives,dreams
Voldemort,have,painful connection
Voldemort,allowing,Harry
Harry,view telepathically,some Voldemort 's actions
Harry,have,painful connection
Harry,view telepathically,some
Voldemort,of,actions
Harry,view,some
Harry,view telepathically,some of Voldemort 's actions
Harry,view,some of Voldemort 's actions
important prophecy,is,then revealed
Harry,view,some Voldemort 's actions
Voldemort,have,connection
Harry,have,connection
prophecy,is,then revealed
prophecy,is,revealed
important prophecy,is,revealed
Harry,is tricked into In,novel 's climax
Harry,is tricked In,novel 's climax
Harry,is,tricked into
novel,In,climax
Harry,is,tricked
Voldemort,against,followers
his friends,face off against,Voldemort 's followers
He,face off at,Ministry
his friends,face off at,Ministry
He,face off against,Voldemort 's followers
He,face off at,Ministry of MagicMagic
his friends,face off at,Ministry of MagicMagic
Phoenix,saves,teenagers ' lives
timely arrival,saves,teenagers ' lives
teenagers ' lives,arrival of,members
teenagers ' lives,arrival of,members of Order
teenagers ' lives,timely arrival of,members
teenagers ' lives,timely arrival of,members of Order
arrival,saves,teenagers ' lives
Sirius Black,is,killed
Sirius Black,is killed in,conflict
teenagers ' lives,arrival of,members of Order of Phoenix
teenagers ' lives,timely arrival of,members of Order of Phoenix
Harry Potter,begins warfare In,sixth book
Half Blood Prince,begins,open warfare
Harry Potter,begins,warfare
Half Blood Prince,begins warfare In,book
Harry Potter,begins,open warfare
Half Blood Prince,begins,warfare
Harry Potter,begins,waging open warfare
Harry Potter,begins,waging warfare
Harry Potter,begins warfare In,book
Half Blood Prince,begins,waging open warfare
Half Blood Prince,begins warfare In,sixth book
Half Blood Prince,begins,waging warfare
Harry friends,are,protected
Harry friends,are relatively protected from,danger at Hogwarts
Harry friends,are relatively protected from,danger
Harry friends,are protected from,danger at Hogwarts
Harry friends,are,relatively protected
Harry friends,are protected from,danger
Ron,establishes,strong infatuation
strong infatuation,is with,fellow Hogwarts student Lavender Brown
Hermione,romantic feelings towards,Ron
Ron,establishes,infatuation with fellow Hogwarts student Lavender Brown
Harry,eventually begins,Ginny
Harry,eventually begins,starts
Ron,establishes,infatuation with Hogwarts student Lavender Brown
Ron,infatuation with,Hogwarts student Lavender Brown
Hermione,feelings towards,Ron
his friends,are,subject to difficulties of adolescence
his friends,are subject to,difficulties of adolescence
Harry,begins,Ginny
Ron,strong infatuation with,fellow Hogwarts student Lavender Brown
Harry,begins,dating Ginny
Ron,establishes,strong infatuation with fellow Hogwarts student Lavender Brown
Harry,eventually begins,dating Ginny
Harry,are subject to,difficulties of adolescence
Harry,begins,starts
Ron,infatuation with,fellow Hogwarts student Lavender Brown
Ron,establishes,infatuation
Ron,strong infatuation with,Hogwarts student Lavender Brown
Ron,establishes,strong infatuation with Hogwarts student Lavender Brown
Harry,takes lessons With,war drawing
Harry,takes,lessons
Harry,takes,lessons with Dumbledore
private lessons,is with,Dumbledore
Harry various memories,called,Pensieve
Harry,takes,private lessons with Dumbledore
early life,is in,device
Harry,takes,private lessons
Harry memories,called,Pensieve
Harry,takes lessons With,war drawing near
Professor Snape,by killing is,titular Half Blood Prince
Chamber,culminates in,killing of Dumbledore by Professor Snape
Chamber,culminates in,titular Half Blood Prince
Chamber,culminates in,killing by Professor Snape
Dumbledore,of killing is,titular Half Blood Prince
Chamber,culminates in,killing of Dumbledore
Draco,attack Dumbledore upon,Dumbledore return
Draco,attack,Dumbledore
Chamber,culminates in,killing
Chamber,culminates in,Half Blood Prince
Harry Potter,begins after,events
Harry Potter,begins after,events of Chamber
Hallows,begins directly after,events
Hallows,begins after,events of Chamber of Secrets
Harry Potter,novel in,series
Hallows,begins after,events
Harry Potter,begins directly after,events of Chamber
Hallows,begins after,events of Chamber
Hallows,begins directly after,events of Chamber of Secrets
last original novel,is in,series
Harry Potter,begins after,events of Chamber of Secrets
Hallows,begins directly after,events of Chamber
Harry Potter,begins directly after,events of Chamber of Secrets
Harry Potter,begins directly after,events
Lord Voldemort,has completed,Lord Voldemort ascension
Lord Voldemort,gained,control of Ministry
Lord Voldemort,has completed,Lord Voldemort ascension to power
Lord Voldemort,gained,control
Lord Voldemort,gained,control of Ministry of MagicMagic
Hermione,drop,Ron Hermione can find
Harry,drop,Harry Ron can find
Hermione,destroy,Voldemort 's Horcruxes
Hermione,drop,Harry can find
Hermione,drop,Harry Ron can find
Harry,drop,so Harry Ron Hermione can find
Harry,drop,so Harry Ron can find
Hermione,drop,so Hermione can find
Hermione,drop,so Harry Hermione can find
Hermione,drop,so Harry can find
Ron,drop,Harry Hermione can find
Ron,drop,so Harry Ron Hermione can find
Ron,drop,Ron Hermione can find
Hermione,drop,Harry Hermione can find
Harry,drop,Ron can find
Ron,drop,Harry can find
